#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs01_food_beta/MCTs01_food_pcoa.txt	MCTs01_tax_beta/MCTs01_tax_pcoa.txt	3	0.901	900	0.904
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs03_food_beta/MCTs03_food_pcoa.txt	MCTs03_tax_beta/MCTs03_tax_pcoa.txt	3	0.698	697	0.803
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs04_food_beta/MCTs04_food_pcoa.txt	MCTs04_tax_beta/MCTs04_tax_pcoa.txt	3	0.090	90	0.674
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs05_food_beta/MCTs05_food_pcoa.txt	MCTs05_tax_beta/MCTs05_tax_pcoa.txt	3	0.695	694	0.612
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs06_food_beta/MCTs06_food_pcoa.txt	MCTs06_tax_beta/MCTs06_tax_pcoa.txt	3	0.741	740	0.640
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs07_food_beta/MCTs07_food_pcoa.txt	MCTs07_tax_beta/MCTs07_tax_pcoa.txt	3	0.049	49	0.700
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs08_food_beta/MCTs08_food_pcoa.txt	MCTs08_tax_beta/MCTs08_tax_pcoa.txt	3	0.154	154	0.770
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs09_food_beta/MCTs09_food_pcoa.txt	MCTs09_tax_beta/MCTs09_tax_pcoa.txt	3	0.399	399	0.816
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs10_food_beta/MCTs10_food_pcoa.txt	MCTs10_tax_beta/MCTs10_tax_pcoa.txt	3	0.322	322	0.772
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs13_food_beta/MCTs13_food_pcoa.txt	MCTs13_tax_beta/MCTs13_tax_pcoa.txt	3	0.372	372	0.723
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
