#taxonomy	MCT.f.0153	MCT.f.0152	MCT.f.0151	MCT.f.0150	MCT.f.0149	MCT.f.0148	MCT.f.0147	MCT.f.0146	MCT.f.0145	MCT.f.0144	MCT.f.0143	MCT.f.0142	MCT.f.0141	MCT.f.0139	MCT.f.0138	MCT.f.0137
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.123630977900768	0.17711317947072	0.211611731348573	0.129411764705882	0.168989020721164	0.130904353250098	0.147393401209523	0.210673199297936	0.168191431632554	0.14215516198007	0.103716997142272	0.185534308677894	0.247976745221718	0.199980248388558	0.158982947539709	0.151940316112291
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.295377479830066	0.364222565868176	0.246632996632997	0.289287105570705	0.19842159934116	0.18956306528366	0.163890377401822	0.240161541212973	0.257951968164299	0.243631742445637	0.21523178807947	0.219915549996199	0.199289077460598	0.265668808833306	0.28409303782073	0.17600259495164
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.044471294383599	0.0682286347853996	0.0543150806308701	0.0294507206856252	0.0643527274382648	0.0570439751702768	0.0352369287300008	0.0507374165051532	0.0597197679110604	0.0359059184249808	0.0123428493401867	0.0566685786552961	0.0496066849390493	0.0492947229475185	0.0572441501869088	0.05620429346544
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	3.89757181276065e-05	1.75064919907799e-05	0.000155059365585681	5.1941306323854e-05	4.55228296990941e-05	0.0001106673239635	6.12416749598101e-05	0.000399277972333364	3.47855125297416e-05	5.24468471376125e-05	0.00013654673311941	0.000131305243225686	4.04853382347583e-05	6.02183275684321e-05	3.63472673844786e-05	8.84642604387827e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.0349027555832716	0.031155720246258	0.0225500620237462	0.0290871315413583	0.0203238742411137	0.0172439812066763	0.0172471867105565	0.0241272033073525	0.0261552268711127	0.0237785936176221	0.0207404734270304	0.0258533113109101	0.0384124889171387	0.0261829288267543	0.0274953098045356	0.0289573012502949
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0197606890906965	0.02267090712806	0.0215975544922913	0.0192702246461499	0.0202204132645249	0.0192058110405747	0.0238383219781061	0.0226091151833767	0.0208887002741098	0.02144269173357	0.015502930878093	0.0238353570465995	0.0179309563041744	0.0305379182765033	0.024470098780689	0.0187426279782968
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.00851619441088202	0.0149855571441076	0.0070441254651781	0.00444098169068952	0.0107847721996217	0.00858677827298611	0.00594044247110158	0.00785662593476796	0.00474126535780378	0.00335256384395046	0.00150689073335349	0.00919827782807306	0.0105383335425076	0.00593993583135014	0.0102135821350385	0.0116890776126445
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.0324472853412324	0.0250226125521548	0.0187400318979266	0.0134008570315543	0.0447944644239086	0.057803555439299	0.0345709255148128	0.0270178094612243	0.0219948795725556	0.0135877677814984	0.0188727091847185	0.02966807416673	0.0278093788334555	0.0301308423821407	0.040714531357906	0.0469804199103562
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.00584635771914098	0.00996702944008403	0.00575934786461102	0.00329827295156473	0.00808650993018453	0.00605149048764047	0.00355967235703897	0.00539857091759069	0.00441776009127719	0.00316698269254044	0.00135083732407416	0.00574287669055501	0.00494325979846399	0.00335536521211304	0.00482579873120077	0.00366831799952819
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.014362552130023	0.0192162927085461	0.016702108807372	0.0159719516945851	0.0264446256161101	0.0209714578910832	0.0249559825461226	0.0247801891579394	0.0206138947251249	0.0161334570541009	0.0135961532834613	0.0230198823781453	0.0131779775954138	0.0129397142279047	0.0102946645007423	0.00980184005661713
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	0.00508633121565265	0.00649490852857935	0.00589225589225589	0.00532398389819504	0.00524754073258648	0.0048391802569494	0.00518257674347393	0.00621376344443797	0.00546828256967538	0.00566425949086215	0.0041890587053419	0.00732545041153828	0.00693108990579062	0.00688175047452042	0.00577641957048714	0.00485373908940788
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	0.00163698016135947	0.00202491757360021	0.00234804182172603	0.00246721205038307	0.00213543455679387	0.00168516152398966	0.00199800964556381	0.00193400267848973	0.00192016029164174	0.00180739903981926	0.00133133064791425	0.0020663298802358	0.00185017995732845	0.00188844675254603	0.00153217711743802	0.00127978296768106
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	0.145087110730015	0.0740699676129898	0.166644515328726	0.203168419685755	0.189126665204418	0.210786039820115	0.276697542677792	0.207108811565752	0.191835144499019	0.298458869568726	0.305362385276361	0.17988818321919	0.200058298887058	0.18997677981289	0.178258183028063	0.313523236612409
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_obesi	0.0368905172077796	0.054591077524582	0.0338915470494418	0.0239189715621348	0.0713177203822262	0.0731712224715032	0.0326800888004287	0.0505960055566184	0.0460803684481487	0.0226166942348812	0.00695413005100996	0.00984789324192645	0.0135868795115849	0.0102154370887088	0.0392662325498167	0.0216914366595895
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__[Eubacterium]_rectale	0.00761975289394707	0.00903918536457269	0.00697767145135566	0.00586936761459551	0.00422120784482509	0.00301819974445909	0.00659879047691954	0.00522804595023998	0.00210800205930234	0.00210594263121798	0.00645670980893211	0.00730471800471317	0.00368821431318648	0.00356010752584571	0.00337470397946659	0.00393371078084454
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	0.00083797793974354	0.000676917690310157	0.000598086124401914	0.000415530450590832	0.000674565567359303	0.000658973610873568	0.000681313633927888	0.00078607850803131	0.00082789519820785	0.000653568402791786	0.000492543573037872	0.000926047504854839	0.00110120119998543	0.000843056585958049	0.000640271094695815	0.000625147440434065
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	0.00103285653038157	0.00116126396872173	0.00135123161438951	0.00142838592390599	0.00132843893940084	0.00119218889906134	0.00120952308045625	0.00119367477145495	0.00109922219593984	0.00102473070561181	0.000780267046396629	0.00113337157310592	0.0012388513499836	0.00117305302103306	0.000919865459191805	0.000784383109223874
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella;s__Sutterella_wadsworthensis	3.89757181276065e-05	1.75064919907799e-05	6.64540138224349e-05	0.000103882612647708	1.6553756254216e-05	2.01213316297273e-05	3.82760468498813e-05	2.91140188159744e-05	1.73927562648708e-05	8.06874571347884e-06	3.90133523198315e-05	2.07324068251083e-05	2.02426691173791e-05	9.63493241094914e-06	2.79594364495989e-05	5.89761736258552e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella;s__Barnesiella_intestinihominis	0.00083797793974354	0.00114959297406121	0.000775296827928407	0.000571354369562395	0.00106771727839693	0.000865217260078272	0.000727244890147745	0.0009441260387466	0.000980951453338713	0.00083511518134506	0.000326736825678588	0.000856939482104477	0.00090282304263511	0.000816560521827939	0.00102611131770028	0.00107336635999056
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Odoribacteraceae;g__Odoribacter;s__Odoribacter_splanchnicus	0.00126671083914721	0.00120794794736381	0.000974658869395711	0.00114270873912479	0.00115462449873157	0.00119721923196877	0.000895659496287223	0.00101899065855911	0.00121401438728798	0.001145761891314	0.000721747017916882	0.00114719317765599	0.00102832759116286	0.00104779889969072	0.000827599318908128	0.00125029488086813
