	shannon	chao1	simpson
MCT.f.0002	4.12996751715	216.25	0.871960675135
MCT.f.0003	5.08237297143	218.0	0.947339587507
MCT.f.0004	4.37308058766	214.25	0.891830394876
MCT.f.0005	4.29033880609	228.0	0.882503646882
MCT.f.0006	4.44508361597	211.0	0.900001826336
MCT.f.0007	4.36730813674	224.0	0.897665192803
MCT.f.0008	4.44936039437	215.428571429	0.886530799008
MCT.f.0009	4.50577097634	212.2	0.894591318925
MCT.f.0010	4.37587752685	211.666666667	0.901864829658
MCT.f.0011	4.19684811786	214.5	0.877251652668
MCT.f.0012	4.34939607223	218.5	0.8942696343
MCT.f.0013	4.41768164213	211.857142857	0.902878496379
MCT.f.0014	4.27981679726	216.25	0.88814954376
MCT.f.0016	4.57795925833	215.0	0.902465159221
MCT.f.0017	4.51272464328	190.0	0.899798957026
MCT.f.0035	4.06408538743	196.0	0.867758374853
MCT.f.0036	4.5185241328	193.0	0.890388615085
MCT.f.0037	4.52055180811	213.428571429	0.889782503499
MCT.f.0038	4.26919296901	220.142857143	0.870421649243
MCT.f.0039	4.89677943148	196.0	0.926613333281
MCT.f.0042	4.09690414696	220.0	0.844570631887
MCT.f.0043	4.18511952996	209.0	0.877291439743
MCT.f.0044	4.61401811642	222.0	0.898726689104
MCT.f.0045	4.20174880516	195.0	0.882884376516
MCT.f.0048	4.29931956353	212.5	0.872059865767
MCT.f.0049	4.34940472367	200.0	0.88478813546
MCT.f.0050	4.21801229778	197.0	0.88146702708
MCT.f.0051	4.14235577325	217.875	0.879741932294
MCT.f.0052	3.9380995606	192.0	0.851362816917
MCT.f.0053	3.58974623589	270.0	0.830031932679
MCT.f.0054	3.15912832409	190.75	0.786412486611
MCT.f.0055	3.4086709397	206.25	0.808248668743
MCT.f.0056	3.604838987	182.0	0.837615224272
MCT.f.0057	3.89139679775	213.25	0.870282768455
MCT.f.0058	4.04755592731	191.0	0.883292318783
MCT.f.0059	3.78136091048	184.0	0.858711125697
MCT.f.0060	3.99260021755	221.75	0.873275452183
MCT.f.0061	3.92273441827	197.0	0.857154895729
MCT.f.0063	3.77723817256	224.5	0.863238559107
MCT.f.0065	3.81659797617	207.111111111	0.855048759643
MCT.f.0066	3.51299924425	202.25	0.820093119393
MCT.f.0067	3.93225976329	216.0	0.859561200098
MCT.f.0068	4.06493789865	218.0	0.86648749187
MCT.f.0069	3.588769543	206.0	0.789753879647
MCT.f.0070	3.38909263684	197.0	0.793494895298
MCT.f.0071	3.2594273028	211.909090909	0.762210961174
MCT.f.0072	2.92271519208	211.153846154	0.684417665618
MCT.f.0074	3.53279149087	194.375	0.82532828674
MCT.f.0075	3.07298500654	216.866666667	0.722424314156
MCT.f.0076	3.89417355503	199.583333333	0.843919590372
MCT.f.0077	3.63227647413	212.833333333	0.830541881288
MCT.f.0078	3.17568429129	190.4	0.748224378485
MCT.f.0080	3.4180848917	215.909090909	0.763496706249
MCT.f.0081	3.28382858208	227.6	0.768442667364
MCT.f.0083	3.5335719334	218.857142857	0.79395291544
MCT.f.0085	3.93172297223	179.0	0.864846299572
MCT.f.0086	3.90573541424	211.6	0.866090997627
MCT.f.0089	5.26486221977	218.0	0.942648522868
MCT.f.0091	5.10805460493	220.0	0.92797709081
MCT.f.0094	4.59837256854	211.0	0.886884286168
MCT.f.0095	4.33443138255	214.0	0.882722504843
MCT.f.0098	4.60317804117	203.0	0.908611280312
MCT.f.0099	4.85588445904	210.0	0.920067857943
MCT.f.0103	4.37934248259	209.0	0.891117069487
MCT.f.0104	4.40959085754	222.5	0.892687585102
MCT.f.0106	4.44948758442	250.0	0.873309276475
MCT.f.0107	4.37298019612	210.5	0.915570103473
MCT.f.0108	4.36147008197	202.75	0.896221085449
MCT.f.0109	4.38904953405	228.0	0.915640449325
MCT.f.0110	4.49873627106	197.0	0.883184447355
MCT.f.0111	4.48297874647	195.0	0.911598046113
MCT.f.0112	4.4340264477	220.333333333	0.872867789225
MCT.f.0113	4.54735493796	195.0	0.897572225617
MCT.f.0114	4.58289808073	202.0	0.912890201865
MCT.f.0115	4.29891886909	209.0	0.851421355286
MCT.f.0116	4.32855722954	212.0	0.854554950922
MCT.f.0117	4.57168343065	237.0	0.898036622825
MCT.f.0118	4.50074218717	219.0	0.886020759428
MCT.f.0119	4.32793200031	204.6	0.883411307433
MCT.f.0120	3.22738892266	206.090909091	0.765899412043
MCT.f.0121	3.35626316153	205.583333333	0.786483435486
MCT.f.0122	3.63381679383	207.875	0.815644867306
MCT.f.0123	3.66782022753	207.5	0.813511969024
MCT.f.0124	3.25073182411	206.5	0.776399213768
MCT.f.0125	3.37084937055	198.6	0.791164703074
MCT.f.0126	3.72535000278	185.0	0.836252919829
MCT.f.0127	3.60942475098	201.5	0.819047342976
MCT.f.0128	3.45630750749	197.0	0.801908203827
MCT.f.0129	3.54803531872	153.0	0.822275066016
MCT.f.0130	3.85460868498	205.272727273	0.850206235049
MCT.f.0131	3.39471793283	205.0	0.801405169928
MCT.f.0132	3.87566307807	309.0	0.847469473173
MCT.f.0133	3.78588890861	207.571428571	0.851886383929
MCT.f.0134	3.48660440649	222.0	0.796592613359
MCT.f.0135	3.33981339647	188.0	0.788115852629
MCT.f.0136	3.53210072962	186.0	0.811583393361
MCT.f.0137	4.2312022126	212.0	0.893498470448
MCT.f.0138	4.27212005456	225.0	0.890747134691
MCT.f.0139	4.25378640621	214.5	0.883170604406
MCT.f.0141	4.31945765061	223.428571429	0.89002594122
MCT.f.0142	4.44004268389	210.111111111	0.905109981302
MCT.f.0143	4.38375472563	216.625	0.892140073509
MCT.f.0144	4.18003188997	219.0	0.884652563474
MCT.f.0145	4.31324363131	220.8	0.89783490518
MCT.f.0146	4.30621227499	242.5	0.897568787027
MCT.f.0147	4.62168519897	246.0	0.912018612308
MCT.f.0148	4.50822823262	227.6	0.916732662793
MCT.f.0149	4.50988086977	213.5	0.915317248824
MCT.f.0150	4.53063677788	197.0	0.902665082941
MCT.f.0151	4.37346790941	199.0	0.890437466783
MCT.f.0152	4.25398723055	208.0	0.889120850245
MCT.f.0153	4.58823323328	202.0	0.909750499309
MCT.f.0154	4.25580349867	223.111111111	0.889164901536
MCT.f.0155	4.25046409055	222.333333333	0.891333941325
MCT.f.0157	4.52496704438	194.0	0.910089034458
MCT.f.0158	4.46901966065	217.0	0.915903886626
MCT.f.0159	4.30948924849	204.0	0.913039057193
MCT.f.0160	4.39226853624	213.0	0.908939839514
MCT.f.0161	4.33785995674	226.75	0.903303669209
MCT.f.0162	4.24204553774	224.0	0.889711382875
MCT.f.0163	4.68835514336	222.6	0.924267840189
MCT.f.0166	4.23479697513	227.0	0.896137219629
MCT.f.0167	4.12792666718	227.0	0.891730899561
MCT.f.0168	4.35545422814	204.0	0.908386286777
MCT.f.0169	4.42159102348	214.0	0.913284839048
MCT.f.0170	4.54750424791	201.0	0.915645676751
MCT.f.0171	4.26579745868	207.0	0.881203038533
MCT.f.0172	4.19070426211	208.0	0.886355889235
MCT.f.0173	4.25611518888	208.75	0.869416127726
MCT.f.0174	4.32428284065	211.428571429	0.871561492036
MCT.f.0176	4.6929055607	211.0	0.914925108305
MCT.f.0177	4.54070798129	187.0	0.910596103532
MCT.f.0178	4.53440613718	210.5	0.903568582992
MCT.f.0179	4.56096151067	201.0	0.911461641054
MCT.f.0180	4.49266576258	206.5	0.897175651162
MCT.f.0181	4.31989304445	222.25	0.895097113059
MCT.f.0182	4.47285356325	249.0	0.901439350522
MCT.f.0183	4.72559763989	214.666666667	0.925499090659
MCT.f.0184	4.44977412379	210.0	0.896421077495
MCT.f.0185	4.6880274608	209.0	0.914938822762
MCT.f.0186	4.75207312494	219.2	0.924363702499
MCT.f.0187	4.98584242237	191.0	0.938577444294
MCT.f.0188	3.58539022202	256.5	0.832086746041
MCT.f.0189	4.07363223021	214.857142857	0.8785284457
MCT.f.0190	3.63628582072	223.0	0.817412254364
MCT.f.0191	3.81105300302	223.0	0.858669772011
MCT.f.0192	4.19122819567	212.25	0.90101890576
MCT.f.0193	4.39583882405	213.2	0.899769626039
MCT.f.0194	3.98616671989	214.0	0.880507578251
MCT.f.0195	4.11678203232	217.5	0.865173189186
MCT.f.0196	3.61060259647	200.142857143	0.812679831148
MCT.f.0197	4.16555632277	188.0	0.894429376122
MCT.f.0198	4.53852371629	206.0	0.918909942037
MCT.f.0200	3.67064340049	202.571428571	0.852032543437
MCT.f.0201	4.01182527144	193.0	0.878999564636
MCT.f.0202	3.42897597467	210.6	0.792884339761
MCT.f.0203	3.81835889283	209.0	0.861906070711
MCT.f.0204	3.71244600218	214.125	0.857218679239
MCT.f.0206	4.66970943328	210.0	0.925587236973
MCT.f.0209	4.37905133601	203.0	0.893918116771
MCT.f.0211	4.67668375142	181.0	0.930828438295
MCT.f.0213	4.50396376891	194.0	0.903331973343
MCT.f.0214	4.79703962924	206.0	0.934864721552
MCT.f.0215	4.69300418454	211.0	0.928161723969
MCT.f.0216	4.72844312645	238.0	0.92731670087
MCT.f.0218	4.4827051422	217.0	0.886845577448
MCT.f.0219	4.41951145798	212.666666667	0.888328148029
MCT.f.0220	4.6498132282	215.666666667	0.911508900319
