#taxonomy	MCT.f.0612	MCT.f.0611	MCT.f.0610	MCT.f.0609	MCT.f.0608	MCT.f.0607	MCT.f.0606	MCT.f.0605	MCT.f.0604	MCT.f.0603	MCT.f.0602	MCT.f.0601	MCT.f.0600	MCT.f.0599	MCT.f.0598	MCT.f.0597	MCT.f.0596
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	0.377093443281	0.176459818549	0.32439511393	0.240800644556	0.32439511393	0.240800644556	0.180918361062	0.238144026799	0.377093443281	0.208053203129	0.216831092906	0.208053203129	0.252190690833	0.32439511393	0.240800644556	0.232884297017	0.141039722048
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	0.21038283011	0.108844256519	0.0923376063488	0.141400905804	0.135041205229	0.0853796475353	0.0923376063488	0.130497088409	0.0853796475353	0.21038283011	0.238031140861	0.141400905804	0.344506641419	0.135041205229	0.141400905804	0.108844256519	0.238031140861
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_putredinis	0.124675024716	0.0844313952373	0.0649877341927	0.0131078224101	0.0131078224101	0.0459496378604	0.101412463546	0.0459496378604	0.0477316836487	0.0649877341927	0.0459496378604	0.118448366491	0.0443201295293	0.101412463546	0.0131078224101	0.124675024716	0.118448366491
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_copri	0.000304525245143	7.0385979113e-05	3.60759037014e-05	0.000667151868025	0.000124480376324	0.000124480376324	7.0385979113e-05	2.43246859075e-05	0.00659194452284	4.22503077231e-05	0.00659194452284	8.2217524078e-05	0.000304525245143	2.43246859075e-05	7.0385979113e-05	7.0385979113e-05	8.2217524078e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	0.00490387166728	0.0119097956307	0.004730713246	0.00189097548252	0.00474862574949	0.00356064659757	0.00471717130992	0.00647036645139	0.00348410596609	0.00647036645139	0.00456324986876	0.00406166291578	0.00474862574949	0.00406166291578	0.00348410596609	0.00647036645139	0.00374356864189
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	0.0923621072138	0.141314895682	0.0452666196852	0.0810137943912	0.0582531959634	0.0582531959634	0.0452666196852	0.103278352685	0.0690642261017	0.115080230154	0.141314895682	0.0209441836202	0.0465087994551	0.0690642261017	0.0475179778253	0.103278352685	0.103278352685
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_shahii	0.00139527930502	0.0011745585547	0.00139527930502	0.000925925925926	0.00164920450136	0.000786939159032	0.000898614866336	0.00226294735529	0.00108903815037	0.00115235322659	0.000925925925926	0.00164920450136	0.00111737741842	0.00158874862099	0.00139527930502	0.000898614866336	0.00106123283388
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium_prausnitzii	0.310876369327	0.100775125595	0.0298433255724	0.131996373998	0.0210530156529	0.0237600723091	0.0237600723091	0.0237600723091	0.310876369327	0.141755505501	0.114888835748	0.114888835748	0.0237600723091	0.0273154717526	0.0113011483099	0.131996373998	0.19597134132
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes_finegoldii	0.061518312946	0.0805111636762	0.0283954322275	0.0308466553463	0.05338327487	0.0283954322275	0.0108246738051	0.0385471031049	0.0071271329709	0.0296687532603	0.0308466553463	0.01798086278	0.0805111636762	0.064434409816	0.05338327487	0.0504046171136	0.019367620896
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides_distasonis	0.0163847780127	0.0419803462131	0.0427165866596	0.0388836121415	0.0292766465649	0.0427165866596	0.0292766465649	0.0451105937136	0.0372998544396	0.0212037762078	0.0427165866596	0.0290591404315	0.0414792207535	0.0292766465649	0.0163847780127	0.0414792207535	0.0284894789104
