node_name	ntype
MCTs01	user_node
MCTs03	user_node
MCTs04	user_node
MCTs05	user_node
MCTs06	user_node
MCTs07	user_node
MCTs08	user_node
MCTs09	user_node
MCTs10	user_node
MCTs11	user_node
MCTs12	user_node
MCTs13	user_node
MCTs14	user_node
MCTs15	user_node
MCTs16	user_node
MCTs18	user_node
MCTs19	user_node
MCTs20	user_node
MCTs21	user_node
MCTs22	user_node
MCTs23	user_node
MCTs24	user_node
MCTs25	user_node
MCTs26	user_node
MCTs27	user_node
MCTs28	user_node
MCTs29	user_node
MCTs31	user_node
MCTs32	user_node
MCTs33	user_node
MCTs34	user_node
MCTs35	user_node
MCTs36	user_node
MCTs37	user_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans	food_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures	food_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Meat_substitutes_mainly_legume_protein	food_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks	food_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters	food_node
L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts	food_node
L1_Eggs;L2_Egg_mixtures;L3_Mixtures_made_with_egg_whites	food_node
L1_Eggs;L2_Eggs;L3_Chicken_eggs	food_node
L1_Fats_Oils_and_Salad_Dressings;L2_Fats;L3_Other_fats	food_node
L1_Fats_Oils_and_Salad_Dressings;L2_Oils;L3_Vegetable_oils	food_node
L1_Fats_Oils_and_Salad_Dressings;L2_Salad_dressings;L3_Regular_salad_dressings	food_node
L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices	food_node
L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits	food_node
L1_Fruits;L2_Dried_fruits;L3_Dried_fruits	food_node
L1_Fruits;L2_Other_fruits;L3_Berries	food_node
L1_Fruits;L2_Other_fruits;L3_Fruits_excluding_berries	food_node
L1_Fruits;L2_Other_fruits;L3_Mixtures_of_fruits_and_nonfruit_items	food_node
L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Bars	food_node
L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cakes	food_node
L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Cookies	food_node
L1_Grain_Product;L2_Cakes_cookies_pies_pastries_bars;L3_Danish_breakfast_pastries_doughnuts	food_node
L1_Grain_Product;L2_Cereals_not_cooked_or_NS_as_to_cooked;L3_Readytoeat_cereals	food_node
L1_Grain_Product;L2_Crackers_and_salty_snacks_from_grain;L3_Nonsweet_crackers	food_node
L1_Grain_Product;L2_Crackers_and_salty_snacks_from_grain;L3_Salty_snacks_from_grain_products	food_node
L1_Grain_Product;L2_Grain_mixtures_frozen_plate_meals_soups;L3_Mixtures_mainly_grain_pasta_or_bread	food_node
L1_Grain_Product;L2_Pastas_cooked_cereals_rice;L3_Cooked_cereals_rice	food_node
L1_Grain_Product;L2_Pastas_cooked_cereals_rice;L3_Pastas	food_node
L1_Grain_Product;L2_Quick_breads;L3_Cornbread_corn_muffins_tortillas	food_node
L1_Grain_Product;L2_Yeast;L3_Wheat_cracked_wheat_breads_rolls	food_node
L1_Grain_Product;L2_Yeast;L3_White_breads_rolls	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Beef;L3_Beef_roasts_stew_meat_corned_beef_beef_brisket_sandwich_steaks	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Finfish	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Fish_and_shellfish;L3_Shellfish	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Frozen_and_shelfstable_plate_meals_soups_and_gravies;L3_Gravies_from_meat_poultry_fish_base	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_Meatpoultry_fish_with_starch_item	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Meatpoultry_fish_with_nonmeat;L3_meatpoultryfish_in_gravy	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;L3_Frankfurters_sausages_lunchmeats_meat_spreads	food_node
L1_Meat_Poultry_Fish_and_Mixtures;L2_Organ_meats_sausages_and_lunchmeats;L3_Organ_meats_and_mixtures	food_node
