Pval,new,Source,Target
0.165,0.0143233323309471,Alistipes_finegoldii,Bacteroides_coprocola
0.168235294117647,-0.0193721731213647,Bacteroides_coprocola,Odoribacter_splanchnicus
0.164411764705882,-0.00776222216332647,Bacteroides_fragilis,Odoribacter_splanchnicus
0.160294117647059,0.00263410572319412,Alistipes_finegoldii,.Eubacterium._siraeum
0.138529411764706,-0.000372135726329412,Bacteroides_ovatus,Oscillibacter_sp._KLE_1745
0.165,-0.0109375835443353,Oscillibacter_sp._KLE_1745,Bacteroides_coprophilus
0.157352941176471,-0.0121662211935265,Parabacteroides_distasonis,Roseburia_intestinalis
0.155294117647059,-0.00967849531975588,[Eubacterium]_siraeum,Roseburia_intestinalis
0.150588235294118,-0.0323324974781088,Bacteroides_coprocola,Roseburia_hominis
0.157352941176471,0.00924543335815882,Bacteroides_cellulosilyticus,Akkermansia_muciniphila
0.137647058823529,-0.0149588475403559,Bacteroides_salyersiae,Ruminococcus_callidus
0.113823529411765,-0.0293388434038294,Bifidobacterium_longum,Alistipes_senegalensis
0.165588235294118,0.00717603104227353,Bacteroides_salyersiae,Bacteroides_oleiciplenus
0.161176470588235,-0.0403279774920882,Flavonifractor_plautii,Bacteroides_oleiciplenus
0.146470588235294,0.00318007826296177,Alistipes_putredinis,Ruminococcus_bicirculans
0.137647058823529,-0.00800298330555,Flavonifractor_plautii,Ruminococcus_bicirculans
0.166470588235294,0.0122021982605794,Bacteroides_oleiciplenus,Bacteroides_fluxus
0.157352941176471,-0.00970365908463824,Parabacteroides_distasonis,Prevotella_stercorea
0.129117647058824,-0.0475478393445588,Bacteroides_salyersiae,.Eubacterium._eligens
0.167941176470588,0.0259951919547529,Parabacteroides_johnsonii,.Eubacterium._eligens
0.148529411764706,-0.0405377421692118,Akkermansia_muciniphila,.Eubacterium._eligens
0.162941176470588,-0.0245395910110324,Bacteroides_coprophilus,Coprococcus_comes
0.165,-0.0145729208551235,Dorea_longicatena,Odoribacter_laneus
0.14,0.00399075948395882,Parabacteroides_johnsonii,Ruminococcus_lactaris
0.167647058823529,0.00776863255533529,Faecalibacterium_prausnitzii,Clostridium_sp._L2.50
0.147352941176471,-0.0200445266895647,Bacteroides_plebeius,Clostridium_sp._L2.50
