#FoodID	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs11	MCTs12	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Hummus	0.361764705882353	0	0.506470588235294	0	0	0	0.144705882352941	0	0	0	0	0	0	0	0	0.217058823529412	0.108529411764706	1.73647058823529	0.144705882352941	0.144705882352941	0	0	0	0	0	0	0	0.108529411764706	0	0.434117647058823	0	0	0.144705882352941	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Bean_dips_and_sauces;Hummus
Soy sauce	0	0.00531675	0	0	0	0.012504	0	0	0.0075	0	0	0.00752941176470588	0	0	0.022512	0	0.015	0	0	0.001248	0.0075	0	0	0	0.013752	0	0	0	0	0.005004	0.027504	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soy_sauce
Soybean curd deep fried	0	0	0	0	0	0.520305882352941	0.130076470588235	0	0	0	0	0	0	0	0	0	0.130076470588235	0	0	0	0	0.455267647058824	0	0	0	0.621928125	0	0.260152941176471	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Soybean_curd_fried;Soybean_curd_deep_fried
Almond butter	0	0	0.436235294117647	0	0	0.290823529411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387764705882353	0	0.145411764705882	0	0	0	2.00344452941176	0	0	1.11482352941176	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Almond_butter;Almond_butter
Peanut butter	0.734117647058824	0	0	0.137142857142857	0.536470588235294	0.988235294117647	0	0	0.395294117647059	0	0	0	0.141176470588235	0	0.0564705882352941	0	0	0	0	0.762352941176471	0.0847058823529412	0.197647058823529	0.197647058823529	0	0.489408	0	0.0564705882352941	0	0.225882352941176	0.310588235294118	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter
Walnuts	0	0.125625	0.532058823529412	0	0	0.118235294117647	0	0	0	0	0	0	0.228588235294118	0.394117647058824	0	0	0	0	0.0886764705882353	0.0295588235294118	0	0.0295588235294118	0.0443618823529412	0	0.0788235294117647	0	0	0.0591176470588235	0	0	0	0	0	0.474911764705882	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Walnuts;Walnuts
Cashew nuts roasted assume salted 	0	0.1940715	0	0	0	0.203535	0	0	0	0	0	0.0397058235294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305429411764706	0	0	0	0	0.0630882352941177	0.051923	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;L5_Cashew_nuts;Cashew_nuts_roasted_assume_salted_
Egg whole boiled or poached	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;L5_;Egg_whole_boiled_or_poached
Egg whole fried with oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;L5_;Egg_whole_fried_with_oil
Butter stick salted	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Fats;L3_Table_fats;L4_Table_fats;L5_Butter;Butter_stick_salted
Olive oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Oils;L3_Vegetable_oils;L4_Vegetable_oils;L5_Olive_oil;Olive_oil
Caesar dressing	0	0	0	0	0.0259411764705882	0	0	0	0.00864705882352941	0	0	0.00288247058823529	0	0	0	0	0	0	0	0	0.0158530588235294	0	0.0129705882352941	0	0	0	0	0	0	0	0	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Salad_dressings;L3_Regular_salad_dressings;L4_;L5_;Caesar_dressing
Italian dressing made with vinegar and oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Salad_dressings;L3_Regular_salad_dressings;L4_;L5_;Italian_dressing_made_with_vinegar_and_oil
Mayonnaise regular	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Salad_dressings;L3_Regular_salad_dressings;L4_;L5_Sesame_oil;Mayonnaise_regular
Lemon juice freshly squeezed	0.00807352941176471	0.014296875	0.0107647058823529	0	0	0	0	0	0	0	0	0.00269117647058824	0.00269117647058824	0.0236823529411765	0	0	0.00269117647058824	0.0572867647058823	0.0161470588235294	0	0	0	0	0	0.00538235294117647	0	0	0.00269117647058824	0	0	0.00538235294117647	0	0.00538235294117647	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_Grapefruit_lemon_lime_juice;L5_;Lemon_juice_freshly_squeezed
Orange juice canned bottled or in a carton	0	0	0	0.213257142857143	0	0	0.691517647058823	0.0526870588235294	0	0	0	0	0	0	0	0	0	0	0	0.0219529411764706	0.0439058823529412	0	0	0	0.0333410588235294	0	0.0614682352941177	0	0	0	0.0362223529411765	0.131717647058824	0.0521382352941176	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruit_juices;L4_Orange_tangerine_or_juice_blend;L5_;Orange_juice_canned_bottled_or_in_a_carton
Orange raw	0	0	0.096	0	0	1.01082352941176	0	0.135529411764706	0.369882352941176	0	0	0	0	0.554823529411765	1.8	0	0.496941176470588	0.931764705882353	0.0952941176470588	0.0462352941176471	0.566823529411765	0.369882352941176	0	0	0	0	0	0.803294117647059	0.012	0	0	0	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_Citrus_fruits;L5_Orange;Orange_raw
Tangerine raw	0.563294117647059	0	0	0	0.279529411764706	1.944	0.160941176470588	0.496323529411765	0	0	0	0	0.0804705882352941	0	0.0931764705882353	0	3.32894117647059	0	0.173647058823529	1.21976470588235	0.0804705882352941	0	0	0	0.127058823529412	0	0	0.0931764705882353	0.321882352941177	0	0	0.186352941176471	0	0	L1_Fruits;L2_Citrus_fruits_juices;L3_Citrus_fruits;L4_Citrus_fruits;L5_Tangelo_or_tangerine;Tangerine_raw
