	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0065	85.0	3.7978582068	18.0	0.917016919424	18.0
MCT.f.0099	77.0	3.14920601088	14.0	0.850466856725	14.0
MCT.f.0100	85.0	3.62150204175	17.0	0.892260590958	17.0
MCT.f.0269	79.0	3.84519773139	17.0	0.924746075716	17.0
MCT.f.0624	67.0	3.01574634095	16.0	0.850338871572	13.0
MCT.f.0625	84.0	3.40341921827	17.0	0.877209652551	17.0
MCT.f.0130	97.0	4.03832737469	23.0	0.927919166274	23.0
MCT.f.0131	100.0	3.92021974876	19.0	0.926003305785	19.0
MCT.f.0132	109.0	3.85624498791	23.25	0.918395226171	23.0
MCT.f.0133	101.0	3.89591005677	22.0	0.916051127464	22.0
MCT.f.0134	89.0	3.77392478588	18.0	0.917662727956	18.0
MCT.f.0135	85.0	3.61123255147	16.0	0.90089349168	16.0
MCT.f.0136	80.0	3.5548361057	15.0	0.896632962089	15.0
MCT.f.0402	58.0	2.65832466801	10.0	0.777252418705	10.0
MCT.f.0403	54.0	2.53152927643	10.0	0.773497151695	10.0
MCT.f.0404	30.0	1.01278501665	5.0	0.329314119531	5.0
MCT.f.0405	92.0	3.56642423695	19.5	0.89525069287	18.0
MCT.f.0406	90.0	3.79267804026	18.0	0.915841266171	18.0
MCT.f.0407	86.0	3.34301918976	18.3333333333	0.863986493616	18.0
MCT.f.0408	69.0	3.31438662026	14.0	0.871382982538	14.0
MCT.f.0487	80.0	3.45011600377	16.0	0.891085600907	16.0
MCT.f.0488	49.0	2.87884556847	10.0	0.814383352258	10.0
MCT.f.0489	75.0	2.82748746753	14.0	0.771323641477	14.0
MCT.f.0490	50.0	2.9653964101	9.0	0.858208804183	9.0
MCT.f.0491	72.0	3.48447884636	14.0	0.898570049443	14.0
MCT.f.0492	80.0	3.5200124455	15.0	0.90110224805	15.0
MCT.f.0493	50.0	2.82913679373	10.0	0.816107368809	10.0
MCT.f.0523	96.0	3.98329686884	21.0	0.926581373135	21.0
MCT.f.0572	65.0	3.16501685469	13.0	0.872427293735	13.0
MCT.f.0573	103.0	3.55343445465	22.0	0.879717257049	22.0
MCT.f.0574	89.0	3.81716655957	19.0	0.916186556927	19.0
MCT.f.0575	88.0	3.67991820292	18.0	0.907856937662	18.0
MCT.f.0576	92.0	3.63489896935	18.0	0.899741453605	18.0
MCT.f.0589	63.0	3.22497359132	11.0	0.878700657895	11.0
MCT.f.0590	35.0	1.82351357593	6.0	0.628046117565	6.0
MCT.f.0591	47.0	2.48579842389	8.0	0.786999087703	8.0
MCT.f.0592	46.0	2.79074511288	8.0	0.837574988227	8.0
MCT.f.0593	76.0	3.27973656555	14.0	0.863487557519	14.0
MCT.f.0594	53.0	2.97506460946	10.0	0.857355220965	10.0
