	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0065	85.0	3.7978582068	18.0	0.917016919424	18.0
MCT.f.0070	82.0	3.344483101	17.0	0.870557857614	17.0
MCT.f.0071	64.0	2.61204828522	13.0	0.739851578263	12.0
MCT.f.0072	75.0	3.26410376798	15.0	0.849599200013	15.0
MCT.f.0073	44.0	2.3705262745	8.0	0.752894775209	8.0
MCT.f.0074	74.0	3.26284783775	15.0	0.867529154519	15.0
MCT.f.0095	71.0	3.2168572616	14.0	0.85997906788	14.0
MCT.f.0099	77.0	3.14920601088	14.0	0.850466856725	14.0
MCT.f.0100	85.0	3.62150204175	17.0	0.892260590958	17.0
MCT.f.0260	69.0	3.41732074676	14.0	0.893739467173	14.0
MCT.f.0269	79.0	3.84519773139	17.0	0.924746075716	17.0
MCT.f.0449	76.0	3.33154821127	16.3333333333	0.873784722222	16.0
MCT.f.0512	98.0	3.69906609172	19.0	0.908717262944	19.0
MCT.f.0562	88.0	3.50046849617	19.0	0.881129481893	19.0
MCT.f.0563	77.0	3.35802892888	15.0	0.878222740788	15.0
MCT.f.0564	106.0	3.84784379921	22.0	0.910657236654	22.0
MCT.f.0566	81.0	3.35017290012	15.0	0.883378339558	15.0
MCT.f.0598	84.0	3.54223212341	18.0	0.891652200612	18.0
MCT.f.0621	88.0	3.29038305319	18.0	0.849831287886	18.0
MCT.f.0622	82.0	2.98429009606	21.0	0.825103520971	18.0
MCT.f.0624	67.0	3.01574634095	16.0	0.850338871572	13.0
MCT.f.0625	84.0	3.40341921827	17.0	0.877209652551	17.0
MCT.f.0086	31.0	2.41520598305	6.0	0.79606854156	6.0
MCT.f.0120	104.0	3.88859897228	24.5	0.911151050056	23.0
MCT.f.0121	108.0	3.88358278391	23.5	0.910425275482	23.0
MCT.f.0122	111.0	4.01657940829	23.0	0.917747746811	23.0
MCT.f.0123	102.0	3.84671242567	22.5	0.90867716371	22.0
MCT.f.0124	139.0	4.37375216462	33.25	0.934429065744	33.0
