#FoodID	MCTs01	MCTs03	MCTs04	MCTs05	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37	taxonomy
Hummus	3.17719852941176	0	4.44807794117647	0	0	0	1.27087941176471	0	0	0	0	0	0	1.90631911764706	0.953159529411765	15.2505529411765	1.27087941176471	1.27087941176471	0	0	0	0	0	0	0	0.953159529411765	0	3.81263823529412	0	0	1.27087941176471	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Dried_beans_mixtures;L4_Dried_beans_mixtures;L5_Bean_dips_and_sauces;Hummus
Soy sauce	0	0.1917353125	0	0	0	0.450925529411765	0	0	0.270468764705882	0.271529411764706	0	0	0.811839058823529	0	0.540937470588235	0	0	0.045006	0.270468764705882	0	0	0	0.495931529411765	0	0	0	0	0.180456764705882	0.991863	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Curds_and_sauces;Soy_sauce
Soybean curd deep fried	0	0	0	0	0	6.60121411764706	1.65030352941176	0	0	0	0	0	0	0	1.65030352941176	0	0	0	0	5.77606235294118	0	0	0	7.89051375	0	3.30060705882353	0	0	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Legumes;L3_Soybean_derived_products_excluding_milks;L4_Soybean_derived_products;L5_Soybean_curd_fried;Soybean_curd_deep_fried
Almond butter	0	0	4.16583529411765	0	0	2.77722352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	3.70296470588235	0	1.38861176470588	0	0	0	19.1319225882353	0	0	10.6460235294118	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Almond_butter;Almond_butter
Peanut butter	12.0138352941176	0	0	2.24434285714286	8.77934117647059	16.1724705882353	0	0	6.46898823529412	0	2.31035294117647	0	0.924141176470588	0	0	0	0	12.4759058823529	1.38621176470588	3.23449411764706	3.23449411764706	0	8.00916194117647	0	0.924141176470588	0	3.69656470588235	5.08277647058824	0	0	0	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nut_butters;L4_Nut_butters;L5_Peanut_butter;Peanut_butter
Walnuts	0	1.7986875	7.61797058823529	0	0	1.69288235294118	0	0	0	0	3.27290588235294	5.64294117647059	0	0	0	0	1.26966176470588	0.423220588235294	0	0.423220588235294	0.635169470588235	0	1.12858823529412	0	0	0.846441176470588	0	0	0	0	0	6.79974411764706	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Mixed_nuts_NFS;L5_Walnuts;Walnuts
Cashew nuts roasted assume salted 	0	5.743340375	0	0	0	6.02340311764706	0	0	0	1.17505229411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.903886411764706	0	0	0	0	1.86702941176471	1.53660682352941	0	L1_Dry_Beans_Peas_Other_Legumes_Nuts_and_Seeds;L2_Nuts_nut_butters_and_nut_mixtures;L3_Nuts;L4_Nuts_NFS;L5_Cashew_nuts;Cashew_nuts_roasted_assume_salted_
Egg whole boiled or poached	0	0	3.79228235294118	0	0.833152941176471	1.07735294117647	18.6741176470588	0	0	1.43647058823529	2.85857647058824	0	1.98232941176471	0	0	0	0.718235294117647	0.481217647058824	0	0.624864705882353	0	0	0.718235294117647	3.35775	0	0.4884	0	0	1.43647058823529	0	0	1.26409411764706	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;L5_;Egg_whole_boiled_or_poached
Egg whole fried with oil	2.69343529411765	0	4.25484705882353	0	0	8.19741176470588	0	0	0	0	0	0	0	4.48905882352941	0	0	10.7737411764706	0	0	8.3730705882353	1.79562352941176	0	0	0	0	0	0	0	0	0	0	0.780705882352941	L1_Eggs;L2_Eggs;L3_Chicken_eggs;L4_Egg_whole_or_white;L5_;Egg_whole_fried_with_oil
Butter stick salted	0	1.7421671875	0	0	0	0.936953823529412	0	0	0.481662058823529	1.29659176470588	0.468441764705882	0.819878529411765	0.742323529411765	0	0	1.63961647058824	0.123720588235294	0	0	0	0	0	2.24492882352941	0	0.247441176470588	0.468512058823529	0	11.8292441176471	1.88712794117647	0	0	0	L1_Fats_Oils_and_Salad_Dressings;L2_Fats;L3_Table_fats;L4_Table_fats;L5_Butter;Butter_stick_salted
