	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0065	98.0	3.77266042817	21.0	0.898280644524	21.0
MCT.f.0070	91.0	3.14437318616	19.0	0.824049656883	19.0
MCT.f.0071	69.0	2.92331667861	13.0	0.83774648796	13.0
MCT.f.0072	84.0	3.03579952723	17.0	0.810119930988	17.0
MCT.f.0073	44.0	2.5763558522	8.0	0.796372983664	8.0
MCT.f.0074	82.0	3.23921713877	18.0	0.854785425275	18.0
MCT.f.0095	71.0	3.18396544263	14.0	0.863436231138	14.0
MCT.f.0099	77.0	2.93282084253	14.0	0.824680113562	14.0
MCT.f.0100	85.0	3.50760142221	17.0	0.892485660391	17.0
MCT.f.0260	70.0	3.34601050425	15.0	0.87478903489	15.0
MCT.f.0269	84.0	3.80434804996	18.0	0.918543861131	18.0
MCT.f.0449	81.0	3.29925441152	17.0	0.846806268287	17.0
MCT.f.0512	112.0	2.85458401491	22.0	0.739039138179	22.0
MCT.f.0562	88.0	3.2657487379	19.0	0.855066406587	19.0
MCT.f.0563	77.0	2.88884512351	15.0	0.7913682843	15.0
MCT.f.0564	106.0	3.01860611547	22.0	0.780804770706	22.0
MCT.f.0566	86.0	2.73441996204	16.0	0.788550169667	16.0
MCT.f.0598	93.0	3.17086072154	20.0	0.810955958082	20.0
MCT.f.0621	101.0	3.72408578144	21.0	0.901286819271	21.0
MCT.f.0622	95.0	3.51824463203	21.0	0.886920043182	21.0
MCT.f.0624	73.0	2.50123974608	14.0	0.70899029096	14.0
MCT.f.0625	84.0	2.95699514705	17.0	0.765061445107	17.0
MCT.f.0086	31.0	2.23610815589	6.0	0.765461665426	6.0
MCT.f.0120	108.0	4.17165498601	26.0	0.924129134746	26.0
MCT.f.0121	110.0	4.20834347552	25.0	0.932007343535	25.0
MCT.f.0122	113.0	4.20124446897	25.0	0.93294908053	25.0
MCT.f.0123	111.0	4.11848549578	26.0	0.92222001515	26.0
MCT.f.0124	141.0	4.22939215078	35.0	0.924906630934	35.0
MCT.f.0125	106.0	3.93555567947	23.0	0.906777576996	23.0
