#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs01_food_beta/MCTs01_food_pcoa.txt	MCTs01_tax_beta/MCTs01_tax_pcoa.txt	3	0.255	255	0.817
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs03_food_beta/MCTs03_food_pcoa.txt	MCTs03_tax_beta/MCTs03_tax_pcoa.txt	3	0.543	542	0.819
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs04_food_beta/MCTs04_food_pcoa.txt	MCTs04_tax_beta/MCTs04_tax_pcoa.txt	3	0.885	884	0.916
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs05_food_beta/MCTs05_food_pcoa.txt	MCTs05_tax_beta/MCTs05_tax_pcoa.txt	3	0.455	455	0.546
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs06_food_beta/MCTs06_food_pcoa.txt	MCTs06_tax_beta/MCTs06_tax_pcoa.txt	3	0.894	893	0.774
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs07_food_beta/MCTs07_food_pcoa.txt	MCTs07_tax_beta/MCTs07_tax_pcoa.txt	3	0.001	1	0.572
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs08_food_beta/MCTs08_food_pcoa.txt	MCTs08_tax_beta/MCTs08_tax_pcoa.txt	3	0.219	219	0.822
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs09_food_beta/MCTs09_food_pcoa.txt	MCTs09_tax_beta/MCTs09_tax_pcoa.txt	3	0.047	47	0.737
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs10_food_beta/MCTs10_food_pcoa.txt	MCTs10_tax_beta/MCTs10_tax_pcoa.txt	3	0.505	504	0.841
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs13_food_beta/MCTs13_food_pcoa.txt	MCTs13_tax_beta/MCTs13_tax_pcoa.txt	3	0.479	479	0.784
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs14_food_beta/MCTs14_food_pcoa.txt	MCTs14_tax_beta/MCTs14_tax_pcoa.txt	3	0.626	625	0.880
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs15_food_beta/MCTs15_food_pcoa.txt	MCTs15_tax_beta/MCTs15_tax_pcoa.txt	3	0.314	314	0.755
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs16_food_beta/MCTs16_food_pcoa.txt	MCTs16_tax_beta/MCTs16_tax_pcoa.txt	3	0.092	92	0.737
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs18_food_beta/MCTs18_food_pcoa.txt	MCTs18_tax_beta/MCTs18_tax_pcoa.txt	3	0.045	45	0.748
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs19_food_beta/MCTs19_food_pcoa.txt	MCTs19_tax_beta/MCTs19_tax_pcoa.txt	3	0.811	810	0.903
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs20_food_beta/MCTs20_food_pcoa.txt	MCTs20_tax_beta/MCTs20_tax_pcoa.txt	3	0.242	242	0.749
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs21_food_beta/MCTs21_food_pcoa.txt	MCTs21_tax_beta/MCTs21_tax_pcoa.txt	3	0.402	402	0.834
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs22_food_beta/MCTs22_food_pcoa.txt	MCTs22_tax_beta/MCTs22_tax_pcoa.txt	3	0.015	15	0.669
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs23_food_beta/MCTs23_food_pcoa.txt	MCTs23_tax_beta/MCTs23_tax_pcoa.txt	3	0.813	812	0.919
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs24_food_beta/MCTs24_food_pcoa.txt	MCTs24_tax_beta/MCTs24_tax_pcoa.txt	3	0.203	203	0.803
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs25_food_beta/MCTs25_food_pcoa.txt	MCTs25_tax_beta/MCTs25_tax_pcoa.txt	3	0.026	26	0.684
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs26_food_beta/MCTs26_food_pcoa.txt	MCTs26_tax_beta/MCTs26_tax_pcoa.txt	3	0.601	600	0.891
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs27_food_beta/MCTs27_food_pcoa.txt	MCTs27_tax_beta/MCTs27_tax_pcoa.txt	3	0.207	207	0.774
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs28_food_beta/MCTs28_food_pcoa.txt	MCTs28_tax_beta/MCTs28_tax_pcoa.txt	3	0.960	959	0.923
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs29_food_beta/MCTs29_food_pcoa.txt	MCTs29_tax_beta/MCTs29_tax_pcoa.txt	3	0.459	459	0.616
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs31_food_beta/MCTs31_food_pcoa.txt	MCTs31_tax_beta/MCTs31_tax_pcoa.txt	3	0.355	355	0.834
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs32_food_beta/MCTs32_food_pcoa.txt	MCTs32_tax_beta/MCTs32_tax_pcoa.txt	3	0.030	30	0.689
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs33_food_beta/MCTs33_food_pcoa.txt	MCTs33_tax_beta/MCTs33_tax_pcoa.txt	3	0.323	323	0.843
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs34_food_beta/MCTs34_food_pcoa.txt	MCTs34_tax_beta/MCTs34_tax_pcoa.txt	3	0.334	334	0.769
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs35_food_beta/MCTs35_food_pcoa.txt	MCTs35_tax_beta/MCTs35_tax_pcoa.txt	3	0.657	656	0.853
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs36_food_beta/MCTs36_food_pcoa.txt	MCTs36_tax_beta/MCTs36_tax_pcoa.txt	3	0.129	129	0.792
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs37_food_beta/MCTs37_food_pcoa.txt	MCTs37_tax_beta/MCTs37_tax_pcoa.txt	3	0.233	233	0.814
