#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs01_food_beta/MCTs01_food_pcoa.txt	MCTs01_tax_beta/MCTs01_tax_pcoa.txt	3	0.207	207	0.733
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs03_food_beta/MCTs03_food_pcoa.txt	MCTs03_tax_beta/MCTs03_tax_pcoa.txt	3	0.234	234	0.643
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs04_food_beta/MCTs04_food_pcoa.txt	MCTs04_tax_beta/MCTs04_tax_pcoa.txt	3	0.761	760	0.839
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs05_food_beta/MCTs05_food_pcoa.txt	MCTs05_tax_beta/MCTs05_tax_pcoa.txt	3	0.554	553	0.434
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs06_food_beta/MCTs06_food_pcoa.txt	MCTs06_tax_beta/MCTs06_tax_pcoa.txt	3	0.115	115	0.255
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs07_food_beta/MCTs07_food_pcoa.txt	MCTs07_tax_beta/MCTs07_tax_pcoa.txt	3	0.069	69	0.701
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs08_food_beta/MCTs08_food_pcoa.txt	MCTs08_tax_beta/MCTs08_tax_pcoa.txt	3	0.617	616	0.857
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs09_food_beta/MCTs09_food_pcoa.txt	MCTs09_tax_beta/MCTs09_tax_pcoa.txt	3	0.804	803	0.890
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs10_food_beta/MCTs10_food_pcoa.txt	MCTs10_tax_beta/MCTs10_tax_pcoa.txt	3	0.017	17	0.561
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs13_food_beta/MCTs13_food_pcoa.txt	MCTs13_tax_beta/MCTs13_tax_pcoa.txt	3	0.126	126	0.639
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs14_food_beta/MCTs14_food_pcoa.txt	MCTs14_tax_beta/MCTs14_tax_pcoa.txt	3	0.129	129	0.703
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs15_food_beta/MCTs15_food_pcoa.txt	MCTs15_tax_beta/MCTs15_tax_pcoa.txt	3	0.320	320	0.667
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs16_food_beta/MCTs16_food_pcoa.txt	MCTs16_tax_beta/MCTs16_tax_pcoa.txt	3	0.161	161	0.694
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs18_food_beta/MCTs18_food_pcoa.txt	MCTs18_tax_beta/MCTs18_tax_pcoa.txt	3	0.765	764	0.877
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs19_food_beta/MCTs19_food_pcoa.txt	MCTs19_tax_beta/MCTs19_tax_pcoa.txt	3	0.622	621	0.832
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs20_food_beta/MCTs20_food_pcoa.txt	MCTs20_tax_beta/MCTs20_tax_pcoa.txt	3	0.677	676	0.773
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs21_food_beta/MCTs21_food_pcoa.txt	MCTs21_tax_beta/MCTs21_tax_pcoa.txt	3	0.381	381	0.796
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
MCTs22_food_beta/MCTs22_food_pcoa.txt	MCTs22_tax_beta/MCTs22_tax_pcoa.txt	3	0.830	829	0.865
#FP1	FP2	Num included dimensions	Monte Carlo p-value	Count better	M^2
#Warning: p-values in this file are NOT currently adjusted for multiple comparisons.
